Unit,Group
American Axle & Manufacturing,Traditional_Autoparts
Amphenol,Autopartes_electronicas
Aptiv,Autopartes_electronicas
Autoliv,Traditional_Autoparts
BMW Group,OEM
BYD,OEM
Baidu,Electronics_Suppliers
Borgwarner,Autopartes_electronicas
Brembo,Traditional_Autoparts
Broadcom,Semiconductores
CIE Automotive,Traditional_Autoparts
Continental,Autopartes_electronicas
Delta Electronics,Electronics_Suppliers
Denso,Autopartes_electronicas
FORVIA / HELLA / FAURECIA,Autopartes_electronicas
Flextronics,Autopartes_electronicas
Ford Motor,OEM
Geely,OEM
General Motors,OEM
Hitachi,Electronics_Suppliers
Hon Hai,Electronics_Suppliers
Huawei,Electronics_Suppliers
Infineon Technologies,Semiconductores
Marvell Technology,Semiconductores
MediaTek,Semiconductores
NXP Semiconductors,Semiconductores
Nissan Motor,OEM
Qualcomm,Semiconductores
Samsung Electronics,Electronics_Suppliers
Stellantis,OEM
Tesla,OEM
Toyota Motor,OEM
Volkswagen,OEM
